run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.client[*].numApps,1,,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.client[*].app[*].typename,"""tryClient""",,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.client[*].app[*].connectAddress,"""server[0]""",,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.client[*].app[*].requestLength,64B,,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.client[*].app[*].replyLength,128B,,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.server[*].numVms,1,,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.server[*].vm[*].typename,"""tryServer""",,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.server[*].vm[*].replyDelay,exponential(100ms),,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,*.server[*].ppp[*].ppp.queue.typename,"""DropTailQueue""",,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,**.ppp[*].ppp.queue.typename,"""DropTailQueue""",,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,param,,,**.ppp[*].ppp.queue.packetCapacity,-1,,,
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[4].app[0],ResponseTime,,,,"220.088074582391","219.08807458239"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[2].app[0],ResponseTime,,,,"182.044521402844","181.04452140284"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[15].app[3],ResponseTime,,,,"153.258476230393","152.25847623039"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[11].app[2],ResponseTime,,,,"143.933867992658","142.93386799266"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[10].app[0],ResponseTime,,,,"130.507182515934","129.50718251593"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[16].app[3],ResponseTime,,,,"120.257981435885","119.25798143589"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[3].app[3],ResponseTime,,,,"91.33366799637 367.839375819646","90.33366799637 134.02194124259"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[15].app[4],ResponseTime,,,,"197.308390998859 612.546093005718","196.30839099886 256.21421875954"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[1].app[4],ResponseTime,,,,"186.54937902771 565.114406962772","185.54937902771 258.40930399421"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[16].app[1],ResponseTime,,,,"183.458817524628 471.189098880395","182.45881752463 188.04306468869"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[0].app[0],ResponseTime,,,,"182.194797019456 620.187821328783","181.19479701946 275.86351903823"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[16].app[4],ResponseTime,,,,"164.764990586054 499.738683823098","163.76499058605 223.07897659812"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[6].app[3],ResponseTime,,,,"105.023594492984 434.170921664438","104.02359449298 167.28347159505"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[11].app[0],ResponseTime,,,,"238.831169758959 517.735331527796 816.089738407887","237.83116975896 152.99341425156 216.63908394678"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[9].app[2],ResponseTime,,,,"200.451182263825 536.558992674796 877.268321313981","199.45118226382 229.03408696593 206.54987940834"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[0].app[3],ResponseTime,,,,"327.654109020915 499.848749395517 753.97322905412","326.65410902091 100.15490929954 168.86351652757"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[1].app[2],ResponseTime,,,,"277.924843983815 580.422384589167 903.223623058386 1197.510101536835 1471.937386127798","276.92484398381 201.76585812538 254.17480568806 176.12247178077 214.30150430457"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[19].app[2],ResponseTime,,,,"181.868826810596 566.707901082995 906.118025180331 1142.409329337012 1367.408100956213 1650.402364505092 1914.940118234625 2251.051023302545","180.8688268106 282.21329473882 213.61898187276 130.57137881802 130.11960875344 188.01217645076 175.46480041363 206.09641240493"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[8].app[2],ResponseTime,,,,"367.536223626616 625.138927671127 970.858294806425 1296.037374288289 1589.922909929631 1985.675688998917 2277.329779657416 2643.26602190938 3047.83793336593","366.53622362662 192.6404848429 281.53605031293 223.88562197304 214.56909429386 274.39211290987 175.2229445449 233.71761354596 250.87361597117"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[16].app[2],ResponseTime,,,,"199.358244306523 670.709447683958 1093.845540634565 1432.524937742496 1756.554110558422 2051.088252497107 2345.426434427386 2612.054451996275 2922.875005121683 3242.021564340477 3606.692765762946 3882.292091317065","198.35824430652 314.05244432497 307.22904027503 252.88305337841 211.34752981021 225.93565288836 182.42442250514 213.34454874969 228.93821536463 249.78665576929 206.70314259818 243.208908609"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[12].app[4],ResponseTime,,,,"282.6120211811 798.357363643821 1312.867112056967 1642.555209835864 1923.481675269028 2269.484759421152 2523.329928443061 2841.993571932794 3097.802547793271 3466.533681363134 3720.539254736076 4048.763291382408 4415.368422377648 4752.307628044411 5137.528784039865","281.6120211811 342.55538203735 402.53593484343 234.58857507358 196.03069106619 243.40884275901 174.50165575613 237.78881450109 181.46864369518 248.83598405024 186.61508751532 248.44977457903 241.40570379489 244.23929913036 287.88922440587"
